track_name,track_artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Penetration in the Centrefold - 2010 Remaster,DEVO,rock,0.579,0.713,1,-10.438,1,0.0361,0.164,0.00126,0.233,0.831,115.665,2wiA6eP7rBktnxmjgX8g7U,149427,4
Fever,Judas Priest,rock,0.486,0.696,9,-7.557,1,0.0406,0.00671,0.000141,0.114,0.325,111.37,48xD8fTt37etYF52AJBiXF,320253,4
Don't Wanna Let You Go,Quiet Riot,rock,0.638,0.806,2,-6.989,1,0.0529,0.105,0.000247,0.0803,0.83,108.257,74wIEdRJGZR5aaKu2XnREO,281133,4
Lo/Hi,The Black Keys,rock,0.606,0.679,2,-7.445,1,0.0321,0.0151,0.000433,0.0962,0.707,122.016,25YlltWXRb9k7KbrEBRuhJ,177768,4
"New Minglewood Blues - Live at Nassau Coliseum, May 15-16, 1980",Grateful Dead,rock,0.612,0.802,9,-9.715,1,0.0438,0.617,0.101,0.719,0.673,104.453,2CczZm7lbN6DEeOvct2K6s,454573,4
High Flyer - 2007 Remaster,UFO,rock,0.501,0.382,7,-8.356,1,0.0283,0.106,0.0137,0.0648,0.372,134.303,6DIsoBTz2MsGvLCkhI5C5q,248987,4
Get Away - Remastered 2010,Badfinger,rock,0.41,0.934,4,-7.449,1,0.113,0.171,0.0139,0.682,0.512,126.262,3yCk75aJcUT6XLhOPyTwcu,241213,4
This House,Japanese Breakfast,rock,0.554,0.278,7,-8.948,1,0.0252,0.4,0.000274,0.112,0.533,163.881,4b0SGqqugS4oyoWwNWIVFW,182160,4
Heavy Metal,Terry Bozzio,rock,0.364,0.829,6,-7.357,1,0.0395,0.0527,0.825,0.332,0.211,86.001,0iDRTf4jYikFkhvg6y8V0k,213987,5
"The Music Never Stopped - Live in San Francisco, October 14, 1980",Grateful Dead,rock,0.523,0.464,4,-15.184,1,0.0558,0.663,0.597,0.277,0.612,121.062,04jYBrx4MWealbyZifhVo5,444173,4
Cannot Tell a Lie,Metal Church,rock,0.272,0.862,10,-12.251,0,0.0857,0.000476,0.88,0.168,0.367,96.21,2td6Z12vYfl2KvTwrK8soJ,257573,4
Glorious - Live,for KING & COUNTRY,rock,0.593,0.675,1,-6.175,1,0.031,0.00327,0,0.705,0.175,119.914,2TK0GWQPbAlufhXECT391S,233707,4
"Colony - Live at High Wycombe Town Hall, 20th February 1980",Joy Division,rock,0.545,0.989,4,-3.88,1,0.0658,0.00116,0.49,0.744,0.587,137.167,62S9VMIgHPWE6OlZVQawQH,246120,4
Bellowing - April 1970 At Boston Arena - Bright Midnight Sampler LP Version,The Doors,rock,0.215,0.236,11,-9.819,0,0.0325,0.643,0,0.699,0.31,168.79,1sezZ9qMcdXYrXEso7PiNC,91000,3
The Fish Cheer & I-Feel-Like-I’m-Fixin’-To-Die Rag,Country Joe & The Fish,rock,0.623,0.46,5,-13.695,1,0.244,0.328,1.56e-05,0.316,0.736,110.639,6vvaSmXe1oWgbpz5P7Ys4Q,226133,4
Heartless,Heart,rock,0.61,0.834,11,-5.33,0,0.0359,0.0541,0.0197,0.0926,0.852,131.372,0TQ8uuzlzubDsoeYGmA3zF,301227,4
"Slide It In - Live at Donington, 1990; 2019 Remaster",Whitesnake,rock,0.206,0.97,2,-4.98,1,0.111,0.00254,0.0037,0.963,0.103,132.828,4iyXMkobCoKqtnH3sdPRRy,302612,4
Babylon Sisters,Steely Dan,rock,0.665,0.359,10,-12.848,0,0.0542,0.286,0.00437,0.066,0.524,61.049,731793XQHjYQ3jikBpRw8n,347933,4
Weeping,Bright Blue,rock,0.568,0.413,7,-12.037,1,0.026,0.0324,0.0109,0.137,0.465,84.999,0gDYE1XVoRj4GXa1ab1VjI,292227,4
"Logos - Pt.1 / Live From The Dominion Theatre, London / 6th November 1982 / Remastered 2020",Tangerine Dream,rock,0.354,0.455,11,-15.016,1,0.0362,0.451,0.879,0.233,0.131,117.869,5zIt9z09XeV59kTyZ6tTbq,1548478,4
