id,track_name,track_artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2wiA6eP7rBktnxmjgX8g7U,Penetration in the Centrefold - 2010 Remaster,DEVO,rock,0.579,0.713,1.0,-10.437999999999999,1.0,0.0361,0.16399999999999998,0.00126,0.233,0.831,115.665,149427.0,4.0
48xD8fTt37etYF52AJBiXF,Fever,Judas Priest,rock,0.486,0.696,9.0,-7.557,1.0,0.0406,0.00671,0.00014099999999999998,0.114,0.325,111.37,320253.0,4.0
74wIEdRJGZR5aaKu2XnREO,Don't Wanna Let You Go,Quiet Riot,rock,0.638,0.8059999999999999,2.0,-6.989,1.0,0.0529,0.105,0.00024700000000000004,0.0803,0.83,108.257,281133.0,4.0
25YlltWXRb9k7KbrEBRuhJ,Lo/Hi,The Black Keys,rock,0.606,0.679,2.0,-7.445,1.0,0.0321,0.0151,0.000433,0.0962,0.7070000000000001,122.016,177768.0,4.0
2CczZm7lbN6DEeOvct2K6s,"New Minglewood Blues - Live at Nassau Coliseum, May 15-16, 1980",Grateful Dead,rock,0.612,0.802,9.0,-9.715,1.0,0.0438,0.617,0.10099999999999999,0.7190000000000001,0.6729999999999999,104.45299999999999,454573.0,4.0
6DIsoBTz2MsGvLCkhI5C5q,High Flyer - 2007 Remaster,UFO,rock,0.501,0.382,7.0,-8.356,1.0,0.0283,0.106,0.0137,0.0648,0.37200000000000005,134.303,248987.0,4.0
3yCk75aJcUT6XLhOPyTwcu,Get Away - Remastered 2010,Badfinger,rock,0.41,0.934,4.0,-7.449,1.0,0.113,0.171,0.0139,0.682,0.512,126.262,241213.0,4.0
4b0SGqqugS4oyoWwNWIVFW,This House,Japanese Breakfast,rock,0.5539999999999999,0.278,7.0,-8.948,1.0,0.0252,0.4,0.00027400000000000005,0.11199999999999999,0.5329999999999999,163.88099999999997,182160.0,4.0
0iDRTf4jYikFkhvg6y8V0k,Heavy Metal,Terry Bozzio,rock,0.364,0.8290000000000001,6.0,-7.357,1.0,0.0395,0.0527,0.825,0.332,0.21100000000000002,86.001,213987.0,5.0
04jYBrx4MWealbyZifhVo5,"The Music Never Stopped - Live in San Francisco, October 14, 1980",Grateful Dead,rock,0.523,0.46399999999999997,4.0,-15.184000000000001,1.0,0.0558,0.6629999999999999,0.597,0.27699999999999997,0.612,121.06200000000001,444173.0,4.0
2td6Z12vYfl2KvTwrK8soJ,Cannot Tell a Lie,Metal Church,rock,0.272,0.862,10.0,-12.251,0.0,0.0857,0.00047599999999999997,0.88,0.168,0.36700000000000005,96.21,257573.0,4.0
2TK0GWQPbAlufhXECT391S,Glorious - Live,for KING & COUNTRY,rock,0.593,0.675,1.0,-6.175,1.0,0.031,0.0032700000000000003,0.0,0.705,0.175,119.914,233707.0,4.0
62S9VMIgHPWE6OlZVQawQH,"Colony - Live at High Wycombe Town Hall, 20th February 1980",Joy Division,rock,0.545,0.9890000000000001,4.0,-3.88,1.0,0.0658,0.00116,0.49,0.7440000000000001,0.5870000000000001,137.167,246120.0,4.0
1sezZ9qMcdXYrXEso7PiNC,Bellowing - April 1970 At Boston Arena - Bright Midnight Sampler LP Version,The Doors,rock,0.215,0.23600000000000002,11.0,-9.818999999999999,0.0,0.0325,0.643,0.0,0.6990000000000001,0.31,168.79,91000.0,3.0
6vvaSmXe1oWgbpz5P7Ys4Q,The Fish Cheer & I-Feel-Like-I’m-Fixin’-To-Die Rag,Country Joe & The Fish,rock,0.623,0.46,5.0,-13.695,1.0,0.244,0.32799999999999996,1.56e-05,0.316,0.736,110.639,226133.0,4.0
0TQ8uuzlzubDsoeYGmA3zF,Heartless,Heart,rock,0.61,0.8340000000000001,11.0,-5.33,0.0,0.0359,0.0541,0.0197,0.0926,0.852,131.372,301227.0,4.0
4iyXMkobCoKqtnH3sdPRRy,"Slide It In - Live at Donington, 1990; 2019 Remaster",Whitesnake,rock,0.20600000000000002,0.97,2.0,-4.98,1.0,0.111,0.0025399999999999997,0.0037,0.963,0.10300000000000001,132.828,302612.0,4.0
731793XQHjYQ3jikBpRw8n,Babylon Sisters,Steely Dan,rock,0.665,0.359,10.0,-12.847999999999999,0.0,0.0542,0.28600000000000003,0.004370000000000001,0.066,0.524,61.049,347933.0,4.0
0gDYE1XVoRj4GXa1ab1VjI,Weeping,Bright Blue,rock,0.568,0.413,7.0,-12.037,1.0,0.026000000000000002,0.0324,0.0109,0.13699999999999998,0.465,84.999,292227.0,4.0
5zIt9z09XeV59kTyZ6tTbq,"Logos - Pt.1 / Live From The Dominion Theatre, London / 6th November 1982 / Remastered 2020",Tangerine Dream,rock,0.354,0.455,11.0,-15.015999999999998,1.0,0.0362,0.451,0.879,0.233,0.131,117.869,1548478.0,4.0
5plmGfodqCo1Vf0KP4U5t1,Disco Fever,Goat,rock,0.527,0.9640000000000001,11.0,-3.411,0.0,0.0662,0.00101,0.8759999999999999,0.21899999999999997,0.5760000000000001,104.72399999999999,264053.0,4.0
5DcLCAIjJeAaX1HmFopGZi,Right Here In My Arms (Live at El Teatro Flores BS.AS.MMXIV),HIM,rock,0.43,0.9790000000000001,4.0,-3.886,0.0,0.10300000000000001,0.00512,0.0005610000000000001,0.932,0.529,156.061,250042.0,4.0
4EVLPygzdOebjYqlsQ91oS,"I Can't Tell You Why - Live at Santa Monica Civic Auditorium, Santa Monica, CA, 7/28/1980; 2018 Remaster",Eagles,rock,0.49,0.439,2.0,-11.937999999999999,1.0,0.0258,0.42,0.0134,0.784,0.373,84.133,318680.0,4.0
4y8YNER0bmZhPOTJr76IiR,Where The Wild Things Are,Metallica,rock,0.45399999999999996,0.888,11.0,-4.843999999999999,1.0,0.0485,0.000375,0.0204,0.109,0.166,92.221,414133.0,4.0
1OBNzxKB8SAi2LpVjeAp8y,Ever Enough,A Rocket To The Moon,rock,0.35600000000000004,0.625,1.0,-3.455,1.0,0.0317,0.21899999999999997,0.0,0.107,0.293,165.90200000000002,187293.0,4.0
4w06qSCz2ea5CZoxbtCptw,Jersey Girl,Tom Waits,rock,0.337,0.24600000000000002,2.0,-18.366,1.0,0.031,0.14400000000000002,0.0309,0.0843,0.242,176.082,311733.0,4.0
5esegd3KQ5MTWi7XMsI8tY,Theme for Young Lovers,The Shadows,rock,0.525,0.5429999999999999,2.0,-9.589,1.0,0.0287,0.0324,0.815,0.138,0.7090000000000001,127.365,158560.0,4.0
1SIfiqUWxkstZh0CS6YZXM,"Hound Dog - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,rock,0.217,0.968,0.0,-9.132,1.0,0.0592,0.0151,0.56,0.9,0.818,183.292,148960.0,4.0
3PgIhd4XmwtmV2XGU5qhzZ,Franklin's Tower - 2013 Remaster,Grateful Dead,rock,0.8320000000000001,0.47200000000000003,2.0,-14.402999999999999,1.0,0.0646,0.716,0.00179,0.0824,0.889,99.29,274942.0,4.0
2IzUfd8Dv5wfvLoe8yfpNA,Down Town,Petula Clark,rock,0.573,0.413,3.0,-15.732999999999999,1.0,0.0435,0.518,0.0,0.14800000000000002,0.574,119.435,198667.0,4.0
1b0xBtZzpq66e3wpSdWMGM,Moon Over Bourbon Street - Live In Berlin/2010,Sting,rock,0.38799999999999996,0.29,5.0,-15.850999999999999,0.0,0.0803,0.774,0.00047999999999999996,0.759,0.344,71.873,364653.0,4.0
5h6WFnkzymR5VwA7n7NJ6i,Dixieland,Jackyl,rock,0.642,0.552,7.0,-8.767999999999999,1.0,0.0286,0.0118,0.0126,0.055,0.251,119.134,361773.0,4.0
3aKzimkCrvzqBNXDwNf1fF,ONE OF US - GOLDHOUSE R333MIX,FEVER 333,rock,0.7020000000000001,0.6709999999999999,7.0,-6.724,0.0,0.297,0.00782,0.0,0.212,0.275,91.001,180989.0,4.0
1bYjWWpROUmKeBSWb0b6Qr,So You Want To Be A Rock & Roll Star - Live At The Wiltern/1985,Tom Petty and the Heartbreakers,rock,0.341,0.888,2.0,-12.37,1.0,0.0541,0.004220000000000001,0.00031299999999999996,0.9570000000000001,0.561,142.78,216500.0,4.0
631hvSSsxGYT3DOBVVS4qM,Learning How to Love,Colony House,rock,0.381,0.626,8.0,-6.2,1.0,0.0354,0.23,0.0,0.10800000000000001,0.391,165.06,213880.0,4.0
2TvKIKO2vAe51X5GKR3j6D,Here At The Western World,Steely Dan,rock,0.687,0.524,2.0,-12.994000000000002,1.0,0.0288,0.209,0.000266,0.174,0.568,109.221,241893.0,4.0
3fTVXXjERS6pr5zKao4SXm,No More Lies,Iron Maiden,rock,0.22,0.8370000000000001,5.0,-5.4110000000000005,1.0,0.0518,0.0137,0.0059299999999999995,0.14,0.171,93.83200000000001,442200.0,4.0
03urp9ycZwxy4spwV6YNay,"Let It Grow - Live at Madison Square Garden, NY, Sept. 1990",Grateful Dead,rock,0.5379999999999999,0.494,4.0,-12.074000000000002,0.0,0.0369,0.7809999999999999,0.0629,0.0735,0.62,137.05700000000002,690013.0,4.0
1EkWvu03py5sGihxA5J5GR,Jesús Pétur Kiljan og hin heilaga jómfrú og aumingja ég,Bubbi Morthens,rock,0.7609999999999999,0.498,0.0,-10.798,0.0,0.0319,0.607,5.24e-05,0.106,0.91,143.47299999999998,196998.0,4.0
09SPlF47uMPiK5zB3HuE8v,Muriel,Tom Waits,rock,0.39,0.0663,7.0,-21.107,1.0,0.0483,0.968,0.00603,0.114,0.162,80.334,213933.0,3.0
1vZ8CImKpkli1Q4mLEpyX8,Walk Out In The Rain - Remastered 2010,Badfinger,rock,0.488,0.263,7.0,-12.683,0.0,0.0272,0.6970000000000001,1.7800000000000002e-05,0.0981,0.29,84.727,207680.0,4.0
